Application,ProcessID,FrameType,CPUStartTime,MsBetweenPresents,MsInPresentAPI,MsUntilDisplayed,MsBetweenDisplayChange,DisplayedTime,MsRenderPresentLatency,MsGPUTime,InstrumentedLatency,MsClickToPhotonLatency,phyriadfg_frame_index,qpc_present,warp_ms,iter_ms,slip_ms,MsAddedLatency,pair_age_ms,ring_occ,cap_slots,frz,source_fps,output_fps,cons_per_s,uniq_per_s,gme_dissidence_pct,route_device,GPUUtilization_4090,GPUPower_4090,GPUTemperature_4090,GPUFrequency_4090,GPUMemoryFrequency_4090,GPUMemorySizeUsed_4090,GPUUtilization_1080Ti,GPUPower_1080Ti,GPUTemperature_1080Ti,GPUFrequency_1080Ti,GPUMemoryFrequency_1080Ti,GPUMemorySizeUsed_1080Ti,GPUUtilization_iGPU,CPUUtilization,phyriadfg_disp_phase,phyriadfg_disp_src_frames,phyriadfg_fresh,phyriadfg_warp_gpu_ms,phyriadfg_warp_lat_ms
# schema=PhyriadFG; frametime=MsBetweenPresents(console-style); FrameType: Synthesized|Repeated; NA cells are empty; per-device GPU* suffixed; iGPU/CPU telemetry NA this phase; phyriadfg_disp_phase=intra-pair t_use[0,1], phyriadfg_disp_src_frames=content-source-time(source-frame units, the Animation-Error analogue)
RA Ball Zoo,24484,Synthesized,43.8773,,0.1642,,,,,0.1642,,,0,4079440989394,0.1642,3.7114,,44.7815,,,28,0,,,,,,4090,88.0000,333.0460,51.0000,3030.0000,12251.0000,11315.0117,,,,,,,,,0.1393,33.1393,0,,
RA Ball Zoo,24484,Synthesized,43.9042,0.0269,0.0016,,,,,0.0016,,,1,4079440989663,0.0016,0.0031,,44.8085,,,28,0,,,,,,4090,88.0000,333.0460,51.0000,3030.0000,12251.0000,11315.0117,,,,,,,,,0.4179,33.4179,0,,
RA Ball Zoo,24484,Synthesized,43.9059,0.0017,0.0006,,,,,0.0006,,,2,4079440989680,0.0006,0.0009,,44.8103,,,28,0,,,,,,4090,88.0000,333.0460,51.0000,3030.0000,12251.0000,11315.0117,,,,,,,,,0.6965,33.6965,0,,
RA Ball Zoo,24484,Synthesized,43.9073,0.0014,0.0004,,,,,0.0004,,,3,4079440989694,0.0004,0.0009,,44.8116,,,28,0,,,,,,4090,88.0000,333.0460,51.0000,3030.0000,12251.0000,11315.0117,,,,,,,,,0.9751,33.9751,0,,
RA Ball Zoo,24484,Synthesized,47.6536,3.7463,1.8236,,,,,1.8236,,,4,4079441027157,1.8236,1.8245,,48.5576,,,28,0,,,,,,4090,88.0000,333.0460,51.0000,3030.0000,12251.0000,11315.0117,,,,,,,,,1.0000,34.0000,1,0.0833,2.0107
RA Ball Zoo,24484,Synthesized,56.7028,9.0492,0.6256,,,,,0.6256,,,5,4079441117649,0.6256,6.7071,,46.1475,,,28,0,,,,,,4090,88.0000,333.0460,51.0000,3030.0000,12251.0000,11331.8984,,,,,,,,,0.1428,34.1428,1,0.0899,10.2525
RA Ball Zoo,24484,Synthesized,58.7654,2.0626,2.0556,,,,,2.0556,,,6,4079441138275,2.0556,2.0593,,48.2103,,,28,0,,,,,,4090,88.0000,333.0460,51.0000,3030.0000,12251.0000,11331.8984,,,,,,,,,0.4330,34.4330,0,,
RA Ball Zoo,24484,Synthesized,67.6773,8.9119,8.9076,,407944112.9567,,,8.9076,,,7,4079441227394,8.9076,8.9095,,57.1222,,,28,0,,,,,,4090,88.0000,333.0460,51.0000,3030.0000,12251.0000,11331.8984,,,,,,,,,0.7217,34.7217,1,0.0859,2.6276
RA Ball Zoo,24484,Synthesized,72.7675,5.0902,0.3304,,12.5134,,,0.3304,,,8,4079441278296,0.3304,5.0877,,53.9932,,,28,0,,,,,,4090,88.0000,333.0460,51.0000,3030.0000,12251.0000,11331.8984,,,,,,,,,0.1488,35.1488,1,0.0840,13.6415
