metric,value,method/note
duration_s,44.9843,
frame_count,10788,presented frames
freeze_count,0,real lap-freezes (re-shows; distinct from fdrop)
fdrop_count,17,--fdrop exact-duplicate discriminator drops (elided redundant warps; make-space density)
fresh_count,10594,presents that carried a NEW warp (R4b; frame_count - fresh_count = re-shows of the previous image)
dropped_rows,0,ring overflow (telemetry only; not presents)
max_stall_ms,0.0000,watchdog: longest present-thread stall (gap>100ms = freeze/hang)
stall_count,0,present stalls/freezes/hangs detected (gap>100ms; see # STALL_ lines in raw csv)
total_stall_ms,0.0000,cumulative stalled wall-time
present_fps_avg,239.7947,all presented frames
present_fps_min,131.6396,1000/max_frametime
present_fps_max,666666.6667,1000/min_frametime
real_fps_avg,59.9176,mean source_fps (the honest input rate)
fg_multiplier,4.0024,present_fps_avg / real_fps_avg
1pct_low_fps_integral,235.0618,CapFrameX integral (recommended default)
1pct_low_fps_average,230.1693,CapFrameX average-of-worst
0p1pct_low_fps_integral,227.7023,sample-guarded (>=300 frames)
0p1pct_low_fps_average,201.6499,sample-guarded (>=300 frames)
P99_frametime_ms,4.2533,1% low FPS = 1000/this
P95_frametime_ms,4.2248,
P90_frametime_ms,4.2097,
stutter_count_pct,0.0278,ft>2.5*movavg(1000ms window)
stutter_time_pct,0.0348,time fraction in stutter frames
adaptive_stdev_ms,0.0822,std of frametime residuals vs moving average
present_fps_inst_avg,239.8170,mean output_fps column
fg_slice_ms_4090_avg,3.5150,per-tick warp+present wall on the 4090 (the FG's GPU cost/frame)
fg_slice_ms_4090_p99,4.2470,worst-case per-tick FG 4090 cost
fg_slice_ms_4090_max,6.4875,max per-tick FG 4090 cost
fg_4090_occupancy_pct,84.2949,present_fps*slice = % of the 4090 the FG needs; the game must leave this free (make-space)
