Application,ProcessID,FrameType,CPUStartTime,MsBetweenPresents,MsInPresentAPI,MsUntilDisplayed,MsBetweenDisplayChange,DisplayedTime,MsRenderPresentLatency,MsGPUTime,InstrumentedLatency,MsClickToPhotonLatency,phyriadfg_frame_index,qpc_present,warp_ms,iter_ms,slip_ms,MsAddedLatency,pair_age_ms,ring_occ,cap_slots,frz,source_fps,output_fps,cons_per_s,uniq_per_s,gme_dissidence_pct,route_device,GPUUtilization_4090,GPUPower_4090,GPUTemperature_4090,GPUFrequency_4090,GPUMemoryFrequency_4090,GPUMemorySizeUsed_4090,GPUUtilization_1080Ti,GPUPower_1080Ti,GPUTemperature_1080Ti,GPUFrequency_1080Ti,GPUMemoryFrequency_1080Ti,GPUMemorySizeUsed_1080Ti,GPUUtilization_iGPU,CPUUtilization,phyriadfg_disp_phase,phyriadfg_disp_src_frames,phyriadfg_fresh,phyriadfg_warp_gpu_ms,phyriadfg_warp_lat_ms
# schema=PhyriadFG; frametime=MsBetweenPresents(console-style); FrameType: Synthesized|Repeated; NA cells are empty; per-device GPU* suffixed; iGPU/CPU telemetry NA this phase; phyriadfg_disp_phase=intra-pair t_use[0,1], phyriadfg_disp_src_frames=content-source-time(source-frame units, the Animation-Error analogue)
RA Ball Zoo,22920,Synthesized,43.7325,,0.1443,,,,,0.1443,,,0,4078443226959,0.1443,2.9905,,21.5582,,,28,0,,,,,,4090,98.0000,346.4190,46.0000,3045.0000,12251.0000,11316.5117,,,,,,,,,0.1257,18.1257,0,,
RA Ball Zoo,22920,Synthesized,43.7580,0.0255,0.0018,,,,,0.0018,,,1,4078443227214,0.0018,0.0030,,21.5839,,,28,0,,,,,,4090,98.0000,346.4190,46.0000,3045.0000,12251.0000,11316.5117,,,,,,,,,0.3772,18.3772,0,,
RA Ball Zoo,22920,Synthesized,43.7597,0.0017,0.0005,,,,,0.0005,,,2,4078443227231,0.0005,0.0010,,21.5857,,,28,0,,,,,,4090,98.0000,346.4190,46.0000,3045.0000,12251.0000,11316.5117,,,,,,,,,0.6287,18.6287,0,,
RA Ball Zoo,22920,Synthesized,43.7612,0.0015,0.0005,,,,,0.0005,,,3,4078443227246,0.0005,0.0009,,21.5871,,,28,0,,,,,,4090,98.0000,346.4190,46.0000,3045.0000,12251.0000,11316.5117,,,,,,,,,0.8802,18.8802,0,,
RA Ball Zoo,22920,Synthesized,48.1130,4.3518,1.7192,,,,,1.7192,,,4,4078443270764,1.7192,1.7207,,25.9387,,,28,0,,,,,,4090,98.0000,346.4190,46.0000,3045.0000,12251.0000,11316.5117,,,,,,,,,1.0000,19.0000,1,0.0855,2.7114
RA Ball Zoo,22920,Synthesized,52.9645,4.8515,0.5947,,,,,0.5947,,,5,4078443319279,0.5947,2.4057,,14.8247,,,28,0,,,,,,4090,98.0000,338.6030,44.0000,3045.0000,12251.0000,11333.3984,,,,,,,,,0.1258,19.1258,1,0.0884,5.9458
RA Ball Zoo,22920,Synthesized,55.0739,2.1094,0.3463,,,,,0.3463,,,6,4078443340373,0.3463,0.3484,,16.9341,,,28,0,,,,,,4090,98.0000,338.6030,44.0000,3045.0000,12251.0000,11333.3984,,,,,,,,,0.3772,19.3772,1,0.0908,2.3300
RA Ball Zoo,22920,Synthesized,61.5096,6.4357,2.6157,,407844335.7734,,,2.6157,,,7,4078443404730,2.6157,2.6173,,23.3698,,,28,0,,,,,,4090,98.0000,338.6030,44.0000,3045.0000,12251.0000,11333.3984,,,,,,,,,0.6287,19.6287,1,0.0847,4.1437
RA Ball Zoo,22920,Synthesized,66.1180,4.6084,3.0572,,4.1711,,,3.0572,,,8,4078443450814,3.0572,3.0592,,27.9783,,,28,0,,,,,,4090,98.0000,338.6030,44.0000,3045.0000,12251.0000,11333.3984,,,,,,,,,0.8802,19.8802,1,0.0875,4.1425
RA Ball Zoo,22920,Synthesized,73.7145,7.5965,6.4875,,12.5134,,,6.4875,,,9,4078443526779,6.4875,6.4893,,35.5747,,,28,0,,,,,,4090,98.0000,338.6030,44.0000,3045.0000,12251.0000,11333.3984,,,,,,,,,1.0000,20.0000,1,0.0913,4.1414
RA Ball Zoo,22920,Synthesized,77.8444,4.1299,0.8946,,4.1712,,,0.8946,,,10,4078443568078,0.8946,4.1274,,17.2021,,,28,0,,,,,,4090,98.0000,338.6030,44.0000,3045.0000,12251.0000,11333.3984,,,,,,,,,0.1235,20.1235,1,0.0845,9.6982
RA Ball Zoo,22920,Synthesized,81.9589,4.1145,4.1111,,4.1711,,,4.1111,,,11,4078443609223,4.1111,4.1126,,21.3167,,,28,0,,,,,,4090,98.0000,338.6030,44.0000,3045.0000,12251.0000,11333.3984,,,,,,,,,0.3767,20.3767,0,,
RA Ball Zoo,22920,Synthesized,86.1790,4.2201,4.2167,,4.1711,,,4.2167,,,12,4078443651424,4.2167,4.2181,,25.5368,,,28,0,,,,,,4090,98.0000,338.6030,44.0000,3045.0000,12251.0000,11333.3984,,,,,,,,,0.6279,20.6279,1,0.0851,4.9875
